video_name,algorithm,scene_person_mode,lighting_mode,n_frames_total,n_frames_scored,n_frames_no_active_gt,n_frames_pred_missing,matched_frame_rate,total_eval_kpt,total_missing_pred_kpt,total_pck_correct,oks_mean_frame,oks_median_frame,oks_weighted,pck_global,latency_mean_ms,latency_median_ms,latency_p95_ms,fps_mean,fps_effective,notes
MP_R_DudukBerdiri_1,mediapipe,multi,dim,121,120,0,1,0.991736,1283,90,959,0.453210,0.496484,0.456431,0.747467,19.627437,18.554000,24.649800,52.227239,50.949087,
MP_R_DudukBerdiri_2,mediapipe,multi,dim,150,132,0,18,0.880000,1538,568,238,0.082730,0.000005,0.087313,0.154746,23.309365,26.626100,28.296700,44.670581,42.901212,
MP_R_Jongkok_1,mediapipe,multi,dim,126,126,0,0,1.000000,1512,110,1338,0.711017,0.747085,0.711017,0.884921,18.526803,18.351150,19.295600,54.108693,53.975853,
MP_R_Jongkok_2,mediapipe,multi,dim,139,137,0,2,0.985612,1668,286,1222,0.481028,0.495121,0.481028,0.732614,19.207053,18.403800,26.958500,52.714036,52.064209,
MP_R_PushUp_1,mediapipe,multi,dim,77,76,0,1,0.987013,557,34,485,0.566544,0.601285,0.577027,0.870736,19.065783,18.407500,27.756900,53.072259,52.449983,
MP_R_PushUp_2,mediapipe,multi,dim,91,74,0,17,0.813187,728,325,67,0.046916,0.017537,0.046916,0.092033,18.792063,18.868000,19.678200,53.270426,53.213956,
MP_R_Yoga_1,mediapipe,multi,dim,182,38,0,144,0.208791,2361,1885,466,0.131742,0.000000,0.132021,0.197374,10.778311,8.716650,18.645600,102.137303,92.778915,
MP_R_Yoga_2,mediapipe,multi,dim,173,153,0,20,0.884393,2249,468,975,0.310411,0.088856,0.310411,0.433526,18.860417,19.100900,20.497100,54.117607,53.021096,
MP_T_DudukBerdiri_1,mediapipe,multi,bright,148,148,0,0,1.000000,1771,49,1602,0.648305,0.686865,0.647916,0.904574,22.935951,20.007350,29.134500,45.151943,43.599675,
MP_T_DudukBerdiri_2,mediapipe,multi,bright,145,122,0,23,0.841379,1697,775,155,0.055640,0.000598,0.056499,0.091338,19.078232,18.983000,20.475600,52.504313,52.415759,
MP_T_Jongkok_1,mediapipe,multi,bright,144,144,0,0,1.000000,1728,12,1578,0.811452,0.909346,0.811452,0.913194,22.059881,19.474450,28.604100,46.942739,45.331160,
MP_T_Jongkok_2,mediapipe,multi,bright,208,145,63,0,0.697115,1740,264,681,0.218183,0.189580,0.218183,0.391379,20.202221,19.229850,28.461400,50.350902,49.499508,
MP_T_PushUp_1,mediapipe,multi,bright,76,76,0,0,1.000000,532,15,505,0.779610,0.779539,0.780417,0.949248,28.400149,28.436500,29.730200,35.267475,35.211083,
MP_T_PushUp_2,mediapipe,multi,bright,134,133,0,1,0.992537,1072,221,159,0.074702,0.062447,0.074702,0.148321,23.321550,23.967000,29.227500,44.493994,42.878797,
MP_T_Yoga_1,mediapipe,multi,bright,171,171,0,0,1.000000,2223,82,1706,0.615061,0.754814,0.615061,0.767431,27.268588,27.055800,28.737900,36.730526,36.672233,
MP_T_Yoga_2,mediapipe,multi,bright,213,210,0,3,0.985915,2769,262,1759,0.547270,0.740886,0.547270,0.635247,18.927906,18.638100,20.390600,53.037191,52.832046,
SP_R_DudukBerdiri_1,mediapipe,single,dim,121,121,0,0,1.000000,1452,251,1122,0.473472,0.498982,0.473472,0.772727,18.951783,18.938100,20.271600,52.830764,52.765485,
SP_R_DudukBerdiri_2,mediapipe,single,dim,128,113,0,15,0.882812,1536,329,1094,0.526946,0.586000,0.526946,0.712240,19.968283,18.868400,27.889800,51.383620,50.079419,
SP_R_Jongkok_1,mediapipe,single,dim,109,109,0,0,1.000000,1308,9,1299,0.852803,0.860100,0.852803,0.993119,19.123415,19.021300,20.220300,52.408405,52.291916,
SP_R_Jongkok_2,mediapipe,single,dim,169,169,0,0,1.000000,2028,277,1702,0.589537,0.601884,0.589537,0.839250,18.972469,18.996500,19.922300,52.770749,52.707952,
SP_R_PushUp_1,mediapipe,single,dim,85,74,0,11,0.870588,647,127,479,0.433671,0.420984,0.471785,0.740340,19.489891,19.096600,27.179200,52.152937,51.308651,
SP_R_PushUp_2,mediapipe,single,dim,130,97,0,33,0.746154,1214,512,563,0.343466,0.452149,0.356976,0.463756,18.444602,18.833700,26.600700,57.805084,54.216403,
SP_R_Yoga_1,mediapipe,single,dim,115,115,0,0,1.000000,1487,64,1383,0.775905,0.838164,0.776504,0.930061,22.991054,19.660700,28.948200,45.347522,43.495179,
SP_R_Yoga_2,mediapipe,single,dim,175,148,0,27,0.845714,2275,399,1851,0.697672,0.840812,0.697672,0.813626,17.443923,18.670100,19.965700,61.312694,57.326553,
SP_T_DudukBerdiri_1,mediapipe,single,bright,122,122,0,0,1.000000,1464,0,1464,0.824354,0.841626,0.824354,1.000000,19.104156,19.076700,20.163400,52.395097,52.344632,
SP_T_DudukBerdiri_2,mediapipe,single,bright,134,134,0,0,1.000000,1608,0,1596,0.761746,0.759380,0.761746,0.992537,19.004188,18.994650,20.233400,52.695608,52.619980,
SP_T_Jongkok_1,mediapipe,single,bright,124,124,0,0,1.000000,1488,0,1488,0.901847,0.907167,0.901847,1.000000,19.216346,19.116500,20.176100,52.193970,52.039030,
SP_T_Jongkok_2,mediapipe,single,bright,145,145,0,0,1.000000,1740,48,1659,0.791015,0.862046,0.791015,0.953448,19.169438,19.179600,20.362600,52.231384,52.166370,
SP_T_PushUp_1,mediapipe,single,bright,124,124,0,0,1.000000,998,15,978,0.849919,0.865573,0.851779,0.979960,19.256624,19.114250,20.274600,52.063422,51.930182,
SP_T_PushUp_2,mediapipe,single,bright,128,128,0,0,1.000000,1190,186,937,0.580692,0.648793,0.599484,0.787395,19.289973,19.303900,20.487700,51.920415,51.840403,
SP_T_Yoga_1,mediapipe,single,bright,121,120,1,0,0.991736,1560,1,1557,0.893792,0.892489,0.893792,0.998077,19.100983,18.992600,19.952700,52.561900,52.353328,
SP_T_Yoga_2,mediapipe,single,bright,226,226,0,0,1.000000,2938,0,2938,0.917608,0.914809,0.917608,1.000000,18.989719,18.956600,20.142000,52.761484,52.660075,
